videoId,title,publishTime,viewCount,commentCount
b3NxrZOu_CE,Hamming codes part 2: The one-line implementation,2020-09-04 15:36:24+00:00,934416,1585
lG4VkPoG3ko,"The medical test paradox, and redesigning Bayes&#39; rule",2020-12-22 17:42:00+00:00,1396761,2448
O85OWBJ2ayo,How (and why) to raise e to the power of a matrix | DE6,2021-04-01 15:50:30+00:00,3429379,3029
e50Bj7jn9IQ,"A quick trick for computing eigenvalues | Chapter 15, Essence of linear algebra",2021-05-07 21:39:22+00:00,1282814,1437
ojjzXyQCzso,Make math videos! | Summer of Math Exposition announcement,2021-07-16 18:39:08+00:00,737533,1644
-RdOwhmqP5s,Newton’s fractal (which Newton knew nothing about),2021-10-12 18:57:07+00:00,3109596,3419
LqbZpur38nw,"Beyond the Mandelbrot set, an intro to holomorphic dynamics",2021-10-16 12:39:12+00:00,1729203,1538
F3Qixy-r_rQ,2021 Summer of Math Exposition results,2021-10-23 20:25:56+00:00,797132,839
ltLUadnCyi0,A tale of two problem solvers | Average cube shadow area,2021-12-20 15:02:30+00:00,3441034,3984
v68zYyaEmEA,Solving Wordle using information theory,2022-02-06 13:28:52+00:00,11650646,9343
fRed0Xmc2Wg,"Oh, wait, actually the best Wordle opener is not “crane”…",2022-02-13 18:33:24+00:00,6618243,7456
bOXCLR3Wric,Olympiad level counting  (Generating functions),2022-05-23 15:55:10+00:00,2301210,2886
VYQVlVoWoPY,How to lie using visual proofs,2022-07-03 15:03:56+00:00,4139120,4695
cDofhN-RJqg,What makes a great math explanation? | SoME2 results,2022-10-01 19:23:52+00:00,763543,1058
851U557j6HE,Researchers thought this was a bug (Borwein integrals),2022-11-04 15:54:19+00:00,4560900,2368
KuXjwB4LzSA,But what is a convolution?,2022-11-18 16:00:39+00:00,3521154,2797
zeJD6dqJ5lo,But what is the Central Limit Theorem?,2023-03-14 18:36:36+00:00,4363084,2302
cy8r7WSuT1I,Why π is in the normal distribution (beyond integral tricks),2023-04-02 15:30:13+00:00,2145105,1866
IaSGqQa5O-M,Convolutions | Why X+Y in probability is a beautiful mess,2023-06-27 15:08:14+00:00,952071,888
NOCsdhzo6Jg,How They Fool Ya (live) | Math parody of Hallelujah,2023-06-28 19:17:11+00:00,1145213,1379
YtkIWDE36qU,"This pattern breaks, but for a good reason | Moser&#39;s circle problem",2023-07-02 04:41:01+00:00,2812420,2485
d_qvLDhkg00,A pretty reason why Gaussian + Gaussian = Gaussian,2023-07-11 15:53:09+00:00,932994,586
QCX62YJCmGk,This tests your understanding of light | The barber pole effect,2023-09-01 13:13:14+00:00,1362695,1253
aXRTczANuIs,How wiggling charges give rise to light,2023-09-01 13:39:37+00:00,1758920,2224
6a1fLEToyvU,25 Math explainers you may enjoy | SoME3 results,2023-10-07 14:28:37+00:00,637121,467
KTzGBJPuJwM,But why would light &quot;slow down&quot;? | Visualizing Feynman&#39;s lecture on the refractive index,2023-11-30 18:42:33+00:00,2751313,2526
Cz4Q4QOuoo8,Answering viewer questions about refraction,2023-12-03 11:35:57+00:00,1069062,1310
VFbyGEZLMZw,Don&#39;t let it fool you!,2023-12-07 01:11:14+00:00,17255786,5074
P11ykXwx4-k,I&#39;m still astounded this is true,2023-12-07 01:11:14+00:00,63365179,12074
GSIuXqgPsnY,How prisms work (full video linked above),2023-12-07 01:31:43+00:00,8064398,1918
1tLvj_HSjPk,Seeing with sound,2023-12-08 00:00:02+00:00,1278747,638
nXIHYB0Gp70,Fourier series,2023-12-08 00:00:22+00:00,2321379,764
31xm81m0iYs,The barber pole effect,2023-12-09 00:00:02+00:00,484979,206
h2V3r7oBeMI,Prime spirals,2023-12-09 00:00:19+00:00,3955625,2100
NQFIU5Exjuo,The chessboard and coins puzzle,2023-12-10 00:00:10+00:00,4216131,2528
yZMw2rOKYwE,Error correction is incredible,2023-12-10 00:00:26+00:00,5391548,921
Cm-zmm0nANo,The split necklace puzzle (with a surprise topological solution),2023-12-11 00:00:07+00:00,347915,155
VS9yOhwtVDY,"These integrals all equal π, until...",2023-12-11 00:00:18+00:00,811418,296
4xWpQe3G9qI,A simple image convolution,2023-12-12 00:00:03+00:00,1053083,241
BIbHGfdjc_g,A pretty way to add weighted dice,2023-12-12 00:00:07+00:00,830547,241
TaopSi3Ucfc,A short on shorts,2023-12-13 00:00:09+00:00,814407,946
GOSezO0CHss,Order from chaos,2023-12-15 00:00:13+00:00,13783323,2050
X4jpqCu-wlA,Can you even imagine 2^256?,2023-12-16 00:00:24+00:00,2289410,1099
p9i3cYMQtBY,Infinite Lighthouses and π,2023-12-21 00:00:20+00:00,2085604,635
W1gW1dHRsOw,For anyone who might not know how links in shorts work,2023-12-21 00:15:02+00:00,250222,518
tjIOqIr80ns,The limit of limiting arguments,2023-12-23 00:00:26+00:00,2019769,608
R1e7aHBKLnM,How to derive a formula for π,2023-12-25 19:00:15+00:00,1184023,348
3KbiJ-z0j44,What is a group?,2023-12-27 19:00:01+00:00,156287,81
kpG7I2MOcnI,The Newton art puzzle,2023-12-29 19:00:32+00:00,10044503,1996
BTryyW7gqg4,"Definition of a &quot;bit&quot;, in information theory",2024-01-02 00:00:09+00:00,227866,54
teYL0Er4c3g,A beautiful international math olympiad problem,2024-01-03 07:00:30+00:00,2668008,928
vItzPPpNXEs,Why do we call them &quot;scalars&quot;?,2024-01-06 00:00:33+00:00,246253,80
XIW-2ykgVPI,What does it mean that light &quot;slows down&quot; in glass?,2024-01-08 07:00:19+00:00,190294,167
U3O1nzSojnc,The cube shadow puzzle,2024-01-09 17:15:05+00:00,2010340,992
DWnb2UUlqd0,Why does light slowing imply a bend? (Beyond the tank/car analogy),2024-01-11 00:00:11+00:00,1359538,521
